"TimeInt";"TimeStr";"A_Tu";"B_DO";"C_Conduct";"D_ph";"E_chlorophyll";"F_TDS";"G_Sal";"H_Temp";"J_dept";"K_dosat"
1465188841;"06/06/2016 04:54:01";0;0;3728;0;0;2.165;1.72;31.25;1.334;0
1465189200;"06/06/2016 05:00:00";0;0;3736;0;0;2.17;1.73;31.25;1.334;0
1465189201;"06/06/2016 05:00:01";0;0;3736;0;0;2.17;1.73;31.22;1.364;0
1465189800;"06/06/2016 05:10:00";0;0;3731;0;0;2.168;1.73;31.21;1.372;0
1465190400;"06/06/2016 05:20:00";0;0;3737;0;0;2.172;1.73;31.19;1.398;0
1465191001;"06/06/2016 05:30:01";0;0;3730;0;0;2.168;1.73;31.19;1.415;0
1465191600;"06/06/2016 05:40:00";0;0;3767;0;0;2.19;1.75;31.19;1.448;0
1465192200;"06/06/2016 05:50:00";0;0;3782;0;0;2.199;1.75;31.19;1.486;0
1465192800;"06/06/2016 06:00:00";0;0;3790;0;0;2.203;1.76;31.19;1.508;0
1465193400;"06/06/2016 06:10:00";0;0;3791;0;0;2.204;1.76;31.18;1.523;0
1465194000;"06/06/2016 06:20:00";0;0;3785;0;0;2.201;1.76;31.17;1.523;0
1465194600;"06/06/2016 06:30:00";0;0;3791;0;0;2.205;1.76;31.17;1.513;0
1465195200;"06/06/2016 06:40:00";0;0;3797;0;0;2.208;1.76;31.17;1.515;0
1465195800;"06/06/2016 06:50:00";0;0;3800;0;0;2.21;1.76;31.15;1.493;0
1465196400;"06/06/2016 07:00:00";0;0;3857;0;0;2.243;1.79;31.17;1.471;0
1465197000;"06/06/2016 07:10:00";0;0;3834;0;0;2.231;1.78;31.13;1.459;0
1465197600;"06/06/2016 07:20:00";0;0;3874;0;0;2.253;1.8;31.15;1.442;0
1465198200;"06/06/2016 07:30:00";0;0;3918;0;0;2.279;1.82;31.16;1.426;0
1465198800;"06/06/2016 07:40:00";0;0;3945;0;0;2.294;1.83;31.16;1.41;0
1465199400;"06/06/2016 07:50:00";0;0;3978;0;0;2.313;1.85;31.17;1.386;0
1465200000;"06/06/2016 08:00:00";0;0;3987;0;0;2.319;1.86;31.16;1.365;0
1465200600;"06/06/2016 08:10:00";0;0;4001;0;0;2.327;1.86;31.16;1.333;0
1465201200;"06/06/2016 08:20:00";0;0;4016;0;0;2.336;1.87;31.16;1.307;0
1465201800;"06/06/2016 08:30:00";0;0;4046;0;0;2.352;1.88;31.18;1.272;0
1465202400;"06/06/2016 08:40:00";0;0;4014;0;0;2.333;1.87;31.21;1.221;0
1465203000;"06/06/2016 08:50:00";0;0;4004;0;0;2.328;1.86;31.19;1.162;0
1465203600;"06/06/2016 09:00:00";0;0;4012;0;0;2.332;1.87;31.19;1.106;0
1465204200;"06/06/2016 09:10:00";0;0;4034;0;0;2.345;1.88;31.18;1.05;0
1465204800;"06/06/2016 09:20:00";0;0;4025;0;0;2.34;1.87;31.19;0.993;0
1465205400;"06/06/2016 09:30:00";0;0;4019;0;0;2.336;1.87;31.19;0.941;0
1465206000;"06/06/2016 09:40:00";0;0;4016;0;0;2.333;1.87;31.22;0.888;0
1465206600;"06/06/2016 09:50:00";0;0;3995;0;0;2.32;1.86;31.25;0.837;0
1465207200;"06/06/2016 10:00:00";0;0;3980;0;0;2.31;1.85;31.28;0.786;0
1465207800;"06/06/2016 10:10:00";0;0;3971;0;0;2.305;1.84;31.27;0.74;0
1465208400;"06/06/2016 10:20:00";0;0;3948;0;0;2.29;1.83;31.31;0.699;0
1465209000;"06/06/2016 10:30:00";0;0;3926;0;0;2.276;1.82;31.34;0.661;0
1465209600;"06/06/2016 10:40:00";0;0;3884;0;0;2.25;1.8;31.38;0.623;0
